label,text
ham,Hey are we still on for lunch today?
spam,Congratulations! You've won a $1000 gift card. Click here to claim now!!!
ham,Don't forget the meeting at 10am tomorrow.
spam,URGENT! Your account has been suspended. Verify your details at http://fake-login.com
ham,I'll send the report by tonight.
spam,FREE entry to the prize draw! Text WIN to 99999
ham,Can you review my code?
spam,You have been selected for a limited-time offer! Act now!
ham,Let's catch up later this week.
spam,Claim your FREE vacation now!!! Limited seats available.
